id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
1;CAFITUR S.A.;Expres 2;AVDA. MILLAN 2683;16;Reducto;2;Sin Cadena;-34,8765665;-56,1897221;Montevideo;Montevideo;1;1020;280
2;Distren S.A.;Super Expres 6;Conciliación 3910;14;La Teja;3;Red Expres;-34,86483197;-56,22046689;Montevideo;Montevideo;1;1020;340
3;Distren S.A.;Super Expres 7;Carlos Maria Ramirez 186;14;Belvedere;3;Red Expres;-34,8608486;-56,2270262;Montevideo;Montevideo;1;1020;295
4;Distren S.A.;Expres 1;Dr. Martín Berinduague 870;14;La Teja;5;Red Expres;-34,86902142;-56,23155956;Montevideo;Montevideo;1;1020;480
5;Daltiro S.A.;El Clon - Comercio;Avda. 8 de Octubre 3631;6;Unión;3;El Clon;-34,876518;-56,1456047;Montevideo;Montevideo;1;1020;
6;Gadonur S.A.;El Clon - Gaboto;Avda. 18 de Julio 1751;2;Cordón;3;El Clon;-34,9027945;-56,1806478;Montevideo;Montevideo;1;1020;
7;DALTIRO S.A.;El Clon - Viana;8 DE OCTUBRE 3722;6;Unión;3;El Clon;-34,875543;-56,143307;Montevideo;Montevideo;1;1020;
8;NAFITAL S.A.;El Clon - Vazquez;VAZQUEZ 1388;2;Cordón;3;El Clon;-34,9051578;-56,1853576;Montevideo;Montevideo;1;1020;
9;Satilán S.A.;El Clon - Paso Molino;Avda. Agraciada 4132;14;Paso Molino;3;El Clon;-34,8576189;-56,2204897;Montevideo;Montevideo;1;1020;
10;DALTIRO S.A.;El Clon - Palacio ;GRAL. FLORES 2075;3;Aguada;3;El Clon;-34,8896264;-56,189078;Montevideo;Montevideo;1;1020;
11;SATILAN S.A.;El Clon - Las Piedras ;AV.ARTIGAS 699;;Interior;4;El Clon;-34,7261696;-56,2157332;Las Piedras;Canelones;3;3221;
12;DALTIRO S.A.;El Clon - Cerro ;CARLOS MA. RAMIREZ 1659;17;Cerro ;5;El Clon;-34,8741386;-56,2528854;Montevideo;Montevideo;1;1020;
13;DALTIRO S.A.;El Clon - Requena ;18 DE JULIO 2075;2;Cordón;6;El Clon;-34,8996132;-56,1726323;Montevideo;Montevideo;1;1020;
